Timestamp,Project ID,Year of Production,Was the Project Non-Union?,Was the Project Union?,Was there SAG Talent involved in the project?,Estimated Production Budget (range is an acceptable answer),Primary Deliverable Runtime,Which aspect ratio(s) was the primary deliverable exported as? (Check any or all that apply),Were there additional cut-downs of the primary deliverable?,What was the overall type of camera used for the project?,What platform(s) was the project delivered for?,"Was this a Branded Content Commercial, or a Music Video?"
12/21/2023 16:08:34,QCLOR,2019,Yes,No,Yes,"$550,000.00-$600,000.00",Above 60 seconds but less than five minutes,"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Music Video
12/21/2023 16:09:14,NBLGPS,2021,Yes,No,No,"$175,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 16:09:50,DVPCH,2020,Yes,No,No,"$10,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 16:10:42,BIOGRN,2020,Yes,No,No,"$8,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 16:11:23,TBLTP,2020,Yes,No,No,"$7,000.00-$10,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"DSLR or Mirrorless (Sony, Canon, Fuji)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 16:12:17,ZEN1,2021,Yes,No,No,"$150,000.00-$200,000.00",0:00:60 (60 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 16:13:04,NAMG,2021,Yes,No,Yes,"$65,000.00-$95,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 16:14:05,TGLCL,2021,Yes,No,Yes,"$350,000.00-$450,000.00",0:00:30 (30 seconds),16x9,Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Television Broadcast, Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",
12/21/2023 16:14:46,UAMV,2023,No,Yes,Yes,"$500,000.00",Above 60 seconds but less than five minutes,16x9,Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Music Video
12/21/2023 16:15:32,GXLY,2023,Yes,No,Yes,"$300,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 16:16:14,SHSK,2021,Yes,No,No,"$60,000.00-$80,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 16:17:02,CGMEM,2022,Yes,No,Yes,"$60,000.00",Above 60 seconds but less than five minutes,"16x9, 9x16",No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Music Video
12/21/2023 16:17:46,PPSNP,2021,Yes,No,Yes,"$80,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 16:23:10,ZLA21,2021,Yes,No,No,"$200,000.00-$350,000.00",0:00:30 (30 seconds),16x9,Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Television Broadcast, Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 16:45:25,SHP,2022,Yes,No,No,"$70,000.00",0:00:60 (60 seconds),16x9,No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 16:46:25,BMTEE,2021,Yes,No,No,"$200,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 16:47:04,MLD,2019,Yes,No,Yes,"$85,000.00",Above 60 seconds but less than five minutes,"16x9, 9x16, 1:1",No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Music Video
12/21/2023 17:14:32,VQT,2020,Yes,No,No,"$7,500.00",0:00:15 (15 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 17:15:09,NETR,2023,Yes,No,No,"$20,000.00",0:00:15 (15 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 17:15:46,LRLK,2022,Yes,No,No,"$225,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 17:16:48,UTDZ,2023,Yes,No,No,"$45,000.00-$75,000.00",Above 60 seconds but less than five minutes,"16x9, 9x16",Yes,"DSLR or Mirrorless (Sony, Canon, Fuji)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Music Video
12/21/2023 17:17:57,ILMG,2021,Yes,No,Yes,"$85,000.00-$115,000.00",Above 60 seconds but less than five minutes,"16x9, 9x16, 1:1",No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Music Video
12/21/2023 17:18:45,TMPT,2023,Yes,No,No,"$115,000.00",0:00:60 (60 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 17:19:44,BXR,2022,Yes,No,Yes,"$225,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 17:20:37,TNOPZ,2023,Yes,No,Yes,"$350,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Television Broadcast, Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 17:21:26,HBGY,2022,Yes,No,Yes,"$200,000.00",0:00:30 (30 seconds),16x9,Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 17:22:21,CRSPZ,2023,Yes,No,No,"$175,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 17:23:19,SQCRS,2023,Yes,No,No,"$200,000.00",0:00:60 (60 seconds),16x9,Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 17:24:25,BLDFE,2023,Yes,No,No,"$300,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 17:25:24,PBMX,2023,Yes,No,No,"$400,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Television Broadcast, Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 17:26:24,SNYOK,2023,Yes,No,Yes,"$20,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 17:27:31,WONP,2021,No,Yes,Yes,"$400,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 17:28:18,MPDE,2022,Yes,No,Yes,"$150,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 17:29:51,22DRD,2022,Yes,No,No,"$200,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 17:31:15,MBTS,2021,Yes,No,Yes,"$300,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Television Broadcast, Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 20:14:00,FNSK,2019,Yes,No,No,"$25,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"DSLR or Mirrorless (Sony, Canon, Fuji)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 20:15:20,DRMLP,2021,Yes,No,No,"$20,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"DSLR or Mirrorless (Sony, Canon, Fuji)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 20:16:20,DRQG,2021,Yes,No,No,"$35,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 20:17:48,RNMZ,2019,Yes,No,No,"$10,000.00",Above 60 seconds but less than five minutes,16x9,No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Music Video
12/21/2023 20:19:40,CPTK,2020,Yes,No,No,"$18,000.00-$22,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"DSLR or Mirrorless (Sony, Canon, Fuji)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 20:21:45,SOLH,2021,Yes,No,No,"$20,000.00-$25,000.00",0:00:30 (30 seconds),"16x9, 9x16",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
