Cash,Equity,Job,Level,Industry,Location,Stage,Valuation,Headcount
"75,000",50,Marketing,Founder,Advertising,Other US,Revenue,< $1M,1-10
"100,000",0.6,Engineering,Mid,Enterprise,SF Bay Area,Pre-Rev,$10M-$50M,1-10
"58,500",0.00001,Engineering,Mid,Music,Outside US,Profit,$1M-$10M,1-10
"80,000",2,Engineering,Senior,Enterprise,Other US,Pre-Rev,$1M-$10M,1-10
"40,000",5,Engineering,C-Level,Education,Outside US,Pre-Rev,< $1M,1-10
"80,000",2.25,Engineering,Lead,Mobile,Boston,Profit,$10M-$50M,1-10
"80,000",0.25,Engineering,Lead,Local,New York,Pre-Rev,$1M-$10M,1-10
"160,000",16,Engineering,Founder,Mobile,SF Bay Area,Revenue,$10M-$50M,1-10
"62,500",25,Engineering,Founder,Enterprise,SF Bay Area,Pre-Rev,$1M-$10M,1-10
"80,000",1.6,Engineering,Senior,Advertising,Outside US,Revenue,< $1M,1-10
"80,000",0.4,Product Mgmt.,Lead,Recruiting,SF Bay Area,Pre-Rev,$10M-$50M,1-10
"85,000",0.5,Engineering,Entry,Social Networks,SF Bay Area,Pre-Rev,$1M-$10M,1-10
"70,000",0.1,Administration,Lead,Other,Other US,Pre-Rev,$1M-$10M,1-10
"100,000",0.1,Engineering,Mid,Social Networks,SF Bay Area,Pre-Rev,$10M-$50M,1-10
"50,000",1,Marketing,Senior,Social Networks,SF Bay Area,Pre-Rev,$1M-$10M,1-10
"50,000",1.42,Engineering,Senior,Video,Outside US,Pre-Rev,$1M-$10M,1-10
"45,000",8,Engineering,Lead,eCommerce,Outside US,Revenue,$1M-$10M,1-10
"42,000",0.1,Engineering,Lead,IT Operations,Outside US,Revenue,< $1M,1-10
"40,000",0.00001,Sales & Bus. Dev.,Lead,Social Networks,Austin,Revenue,$1M-$10M,1-10
